XML:ID	InVersion	AlsoUsedIn	nonW	InParSegs	ChapterLocators	Vol	Label	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/0/full/full/0/default.jpg	Huntington	Thumbnail	surfaceGrp	surfaceGrp type (single leaf/bifolio)	surface type (r/v)	surface type resp	surfaceGrp/surface type cert	Notes
hm924v6n1242	F			C-2		6	p. 235	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1242/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1242	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1242/full/150,/0/default.jpg		bifolio	r2			
hm924v6n1243	F			C-2		6	p. 236	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1243/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1243	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1243/full/150,/0/default.jpg		portion of single leaf	r			waxed on to r2
hm924v6n1244	F			C-2		6	p. 237	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1244/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1244	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1244/full/150,/0/default.jpg		portion of single leaf	v			Blank; waxed on to r2
hm924v6n1245	F			C-2		6	p. 238	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1245/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1245	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1245/full/150,/0/default.jpg		bifolio	v2			
hm924v6n1246	F			C-2		6	p. 239	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1246/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1246	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1246/full/150,/0/default.jpg		single leaf	r			I left &c [pencil following ink text; catchwords]
hm924v6n1247	F			C-4		6	p. 240	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1247/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1247	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1247/full/150,/0/default.jpg		single leaf	v			|| [pencil (quite || distinct): coincides with the turn from p. 345 to p. 346 in proofsheets, which is the end of one 3-page sheet: https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1550]
hm924v6n1248	F			C-4 C-5		6	p. 241	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1248/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1248	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1248/full/150,/0/default.jpg		single leaf	r			
hm924v6n1249	F					6	p. 242	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1249/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1249	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1249/full/150,/0/default.jpg		single leaf	v			After ether beyond [pencil indicating position of marked paragraph] It is &c [pencil following ink text; catchwords]
hm924v6n1250	F					6	p. 243	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1250/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1250	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1250/full/150,/0/default.jpg		single leaf	r			
hm924v6n1251	F					6	p. 244	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1251/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1251	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1251/full/150,/0/default.jpg		single leaf	v			
